scrape_date,source,deal_type,id,url,district,street,rooms,area_m2,floor,floor_num,floor_total,series,price_eur,price_per_m2,title
2026-09-04,ss.com,rent,58042032,https://www.ss.com/msg/en/real-estate/flats/riga/imanta/edjnj.html,Imanta,Zentenes 20,1,36.0,7/9,7,9,602-th,370.0,10.28,Сдаётся на долгий срок чистая и ухоженная 1-комнатная кварти
2026-09-04,ss.com,rent,58041890,https://www.ss.com/msg/en/real-estate/flats/riga/shampeteris-pleskodale/cdjlnp.html,Sampeteris,Ventspils 65,2,60.0,2/3,2,3,Spec. pr.,450.0,7.5,Tiek izīrēts plašs un saulains 2istabu dzīvoklis kārtīgiem u
2026-09-04,city24.lv,rent,2131578,https://www.city24.lv/real-estate/apartments-for-rent/riga-imanta-dammes-iela/6542359,Imanta,Dammes iela 25,3,60.0,5/9,5,9,,350.0,5.83,"3 room(s), 60.0 m², Imanta - Dammes iela 25"
2026-09-04,city24.lv,rent,2469393,https://www.city24.lv/real-estate/apartments-for-rent/riga-pleskodale-sampeteris-stendes-iela/2928399,Sampeteris,Stendes iela 5,3,77.6,5/5,5,5,,800.0,10.31,"3 room(s), 77.6 m², Pleskodāle-Šampēteris - Stendes iela 5"
2026-09-04,city24.lv,rent,1343271,https://www.city24.lv/real-estate/apartments-for-rent/riga-zolitude-gramzdas-iela/1058926,Zolitude,Gramzdas iela 80,2,55.0,1/4,1,4,,550.0,10.0,"2 room(s), 55.0 m², Zolitūde - Gramzdas iela 80"
2026-09-04,city24.lv,rent,2469243,https://www.city24.lv/real-estate/apartments-for-rent/riga-pleskodale-sampeteris-lielirbes-iela/4438511,Sampeteris,Lielirbes iela 13,3,100.0,25/30,25,30,,1000.0,10.0,"3 room(s), 100.0 m², Pleskodāle-Šampēteris - Lielirbes iela 13"
2026-09-04,city24.lv,rent,2463532,https://www.city24.lv/real-estate/apartments-for-rent/riga-pleskodale-sampeteris-zalves-iela/8473130,Sampeteris,Zalves iela 35,2,73.0,1/4,1,4,,700.0,9.59,"2 room(s), 73.0 m², Pleskodāle-Šampēteris - Zalves iela 35"
2026-09-04,ss.com,sale,58040465,https://www.ss.com/msg/en/real-estate/flats/riga/zolitude/dnkkg.html,Zolitude,Gramzdas 19,3,83.0,2/9,2,9,119-th,97500.0,1175.0,Tiek pārdots silts un saulains trīsistabu dzīvoklis Zolitūdē
2026-09-04,ss.com,sale,58002516,https://www.ss.com/msg/en/real-estate/flats/riga/imanta/cnpnb.html,Imanta,Talavas g. 9,2,50.0,4/5,4,5,Lit pr.,78000.0,1560.0,"Pārdod pilnīgi jaunu divistabu dzīvokli Imantā

Pārdod gai"
2026-09-04,city24.lv,sale,2471958,https://www.city24.lv/real-estate/apartments-for-sale/riga-pleskodale-sampeteris-volguntes-iela/6899863,Sampeteris,Volguntes iela 27,2,42.5,5/5,5,5,,55000.0,1294.12,"2 room(s), 42.5 m², Pleskodāle-Šampēteris - Volguntes iela 27"
2026-09-04,city24.lv,sale,2468372,https://www.city24.lv/real-estate/apartments-for-sale/riga-imanta-viksnes-iela/8053223,Imanta,Vīksnes iela 29A,2,51.0,7/9,7,9,,61900.0,1213.73,"2 room(s), 51.0 m², Imanta - Vīksnes iela 29A"
2026-09-04,city24.lv,sale,2461816,https://www.city24.lv/real-estate/apartments-for-sale/riga-pleskodale-sampeteris-lielirbes-iela/8708265,Sampeteris,Lielirbes iela 11,3,178.0,24/26,24,26,,415000.0,2331.46,"3 room(s), 178.0 m², Pleskodāle-Šampēteris - Lielirbes iela 11"
2026-09-04,city24.lv,sale,2460692,https://www.city24.lv/real-estate/apartments-for-sale/riga-imanta-jurmalas-gatve/8001358,Imanta,Jūrmalas gatve 113b,4,112.7,3/3,3,3,,249980.0,2218.1,"4 room(s), 112.7 m², Imanta - Jūrmalas gatve 113b"
2026-09-04,city24.lv,sale,2474304,https://www.city24.lv/real-estate/apartments-for-sale/riga-imanta-anninmuizas-bulvaris/2262335,Imanta,Anniņmuižas bulvāris 60,2,50.0,4/5,4,5,,105000.0,2100.0,"2 room(s), 50.0 m², Imanta - Anniņmuižas bulvāris 60"
2026-09-04,city24.lv,sale,2474190,https://www.city24.lv/real-estate/apartments-for-sale/riga-imanta-akaciju-iela/2803976,Imanta,Akāciju iela 6,2,59.5,9/9,9,9,,141000.0,2369.75,"2 room(s), 59.5 m², Imanta - Akāciju iela 6"
2026-09-04,city24.lv,sale,2451036,https://www.city24.lv/real-estate/apartments-for-sale/riga-imanta-akaciju-iela/2865981,Imanta,Akāciju iela 6,1,45.8,9/9,9,9,,129900.0,2836.24,"1 room(s), 45.8 m², Imanta - Akāciju iela 6"
2026-09-04,city24.lv,sale,2452034,https://www.city24.lv/real-estate/apartments-for-sale/riga-imanta-slokas-iela/2401544,Imanta,Slokas iela 183,4,76.0,1/9,1,9,,88000.0,1157.89,"4 room(s), 76.0 m², Imanta - Slokas iela 183"
2026-09-04,city24.lv,sale,2443318,https://www.city24.lv/real-estate/apartments-for-sale/riga-imanta-maza-krumu-iela/8875425,Imanta,Mazā Krūmu iela 18,2,50.0,6/9,6,9,,54000.0,1080.0,"2 room(s), 50.0 m², Imanta - Mazā Krūmu iela 18"
2026-09-04,city24.lv,sale,2473798,https://www.city24.lv/real-estate/apartments-for-sale/riga-pleskodale-sampeteris-zalves-iela/7670258,Sampeteris,Zalves iela,3,64.0,1/5,1,5,,93000.0,1453.13,"3 room(s), 64.0 m², Pleskodāle-Šampēteris - Zalves iela"
2026-09-04,city24.lv,sale,2471677,https://www.city24.lv/real-estate/apartments-for-sale/riga-pleskodale-sampeteris-skrines-iela/4973506,Sampeteris,Skrīnes iela 4,3,63.0,1/3,1,3,,188000.0,2984.13,"3 room(s), 63.0 m², Pleskodāle-Šampēteris - Skrīnes iela 4"
2026-09-04,city24.lv,sale,2456842,https://www.city24.lv/real-estate/apartments-for-sale/riga-imanta-slokas-iela/6212986,Imanta,Slokas iela 130a,3,82.0,6/8,6,8,,189.0,2.3,"3 room(s), 82.0 m², Imanta - Slokas iela 130a"
2026-09-04,city24.lv,sale,2364007,https://www.city24.lv/real-estate/apartments-for-sale/riga-pleskodale-sampeteris-lielirbes-iela/1162189,Sampeteris,Lielirbes iela 9a,3,46.9,3/4,3,4,,119000.0,2537.31,"3 room(s), 46.9 m², Pleskodāle-Šampēteris - Lielirbes iela 9a"
2026-09-04,city24.lv,sale,2215354,https://www.city24.lv/real-estate/apartments-for-sale/riga-imanta-akaciju-iela/7315635,Imanta,Akāciju iela 2F,1,34.6,1/9,1,9,Mimosa,86500.0,2500.0,"1 room(s), 34.6 m², Imanta - Akāciju iela 2F"
2026-09-04,city24.lv,sale,2449129,https://www.city24.lv/real-estate/apartments-for-sale/riga-imanta-akaciju-iela/1120584,Imanta,Akāciju iela 2F,4,77.9,4/9,4,9,Mimosa,203715.0,2615.08,"4 room(s), 77.9 m², Imanta - Akāciju iela 2F"
2026-09-04,city24.lv,sale,2215359,https://www.city24.lv/real-estate/apartments-for-sale/riga-imanta-akaciju-iela/3164519,Imanta,Akāciju iela 2F,4,77.9,7/9,7,9,Mimosa,212690.0,2730.3,"4 room(s), 77.9 m², Imanta - Akāciju iela 2F"
2026-09-04,city24.lv,sale,2295938,https://www.city24.lv/real-estate/apartments-for-sale/riga-imanta-akaciju-iela/2101995,Imanta,Akāciju iela 2F,3,59.6,8/9,8,9,Mimosa,162428.0,2725.3,"3 room(s), 59.6 m², Imanta - Akāciju iela 2F"
2026-09-04,city24.lv,sale,2215344,https://www.city24.lv/real-estate/apartments-for-sale/riga-imanta-akaciju-iela/4966216,Imanta,Akāciju iela 2F,3,76.0,2/9,2,9,Mimosa,208580.0,2744.47,"3 room(s), 76.0 m², Imanta - Akāciju iela 2F"
2026-09-04,city24.lv,sale,2449293,https://www.city24.lv/real-estate/apartments-for-sale/riga-imanta-akaciju-iela/6651189,Imanta,Akāciju iela 2F,4,77.9,8/9,8,9,Mimosa,212120.0,2722.98,"4 room(s), 77.9 m², Imanta - Akāciju iela 2F"
2026-09-04,city24.lv,sale,2297206,https://www.city24.lv/real-estate/apartments-for-sale/riga-imanta-akaciju-iela/1359551,Imanta,Akāciju iela 2F,3,76.0,5/9,5,9,Mimosa,200010.0,2631.71,"3 room(s), 76.0 m², Imanta - Akāciju iela 2F"
2026-09-04,city24.lv,sale,2215353,https://www.city24.lv/real-estate/apartments-for-sale/riga-imanta-akaciju-iela/4196547,Imanta,Akāciju iela 2F,4,77.9,6/9,6,9,Mimosa,207305.0,2661.17,"4 room(s), 77.9 m², Imanta - Akāciju iela 2F"
2026-09-04,city24.lv,sale,2449290,https://www.city24.lv/real-estate/apartments-for-sale/riga-imanta-akaciju-iela/1220226,Imanta,Akāciju iela 2F,4,77.9,7/9,7,9,Mimosa,212120.0,2722.98,"4 room(s), 77.9 m², Imanta - Akāciju iela 2F"
2026-09-04,city24.lv,sale,2302896,https://www.city24.lv/real-estate/apartments-for-sale/riga-imanta-akaciju-iela/4443040,Imanta,Akāciju iela 2F,4,77.9,8/9,8,9,Mimosa,212975.0,2733.95,"4 room(s), 77.9 m², Imanta - Akāciju iela 2F"
2026-09-04,city24.lv,sale,2449123,https://www.city24.lv/real-estate/apartments-for-sale/riga-imanta-akaciju-iela/2522681,Imanta,Akāciju iela 2F,3,61.9,2/9,2,9,Mimosa,174758.0,2823.23,"3 room(s), 61.9 m², Imanta - Akāciju iela 2F"
2026-09-04,ss.com,rent,57353092,https://www.ss.com/msg/en/real-estate/flats/riga/imanta/ahgbe.html,Imanta,Anninmuizhas boulevard,3,65.0,9/9,9,9,467-th,550.0,8.46,"Сдает хозяин . Площадь квартиры 65кв. м, 3 комнаты, просторн"
2026-09-04,ss.com,rent,58042258,https://www.ss.com/msg/en/real-estate/flats/riga/imanta/cfhxpi.html,Imanta,Kurzemes pr. 86,1,33.0,1/9,1,9,602-th,300.0,9.09,Ilgtermiņa īrei tiek izīrēts 1-istabas dzīvoklis ar visām ēr
2026-09-05,ss.com,rent,58040780,https://www.ss.com/msg/en/real-estate/flats/riga/zolitude/gicdj.html,Zolitude,Lejina 10,1,43.0,6/9,6,9,119-th,285.0,6.63,Izīrē mēbelētu dzīvokli. Mēneša maksa 285 eur plus komunālie pak
2026-09-05,ss.com,rent,57958239,https://www.ss.com/msg/en/real-estate/flats/riga/zolitude/ahdnk.html,Zolitude,Biezina 4,1,46.0,9/10,9,10,119-th,350.0,7.61,"Сдаётся светлая, чистая, солнечная, уютная квартира, косметическ"
2026-09-05,ss.com,rent,57256558,https://www.ss.com/msg/en/real-estate/flats/riga/zolitude/fgkdn.html,Zolitude,Ruses 14,1,48.0,3/9,3,9,119-th,300.0,6.25,Izīrē mēbelētu dzīvokli uz laiku ne ilgāk par gadu. Īres maksa 3
2026-09-05,ss.com,rent,57767945,https://www.ss.com/msg/en/real-estate/flats/riga/zolitude/acdgc.html,Zolitude,Rostokas 26,1,47.0,1/8,1,8,119-th,600.0,12.77,"1-istabas dzīvokli ar lieiu lodžiju 

Pilnībā mēbelēts dzīvokl"
2026-09-05,ss.com,rent,57924247,https://www.ss.com/msg/en/real-estate/flats/riga/zolitude/hccpj.html,Zolitude,Liedes 28,3,113.0,1/3,1,3,New,800.0,7.08,"С 1 сентября. 

Современная, атмосферная квартира с окнами на"
2026-09-05,ss.com,rent,58007195,https://www.ss.com/msg/en/real-estate/flats/riga/zolitude/cpklx.html,Zolitude,Rostokas 40,3,78.0,2/9,2,9,119-th,500.0,6.41,"Сдаётся 3-комнатная квартира с большой лоджией
Светлая, полност"
2026-09-05,ss.com,rent,57358727,https://www.ss.com/msg/en/real-estate/flats/riga/zolitude/fhcpj.html,Zolitude,Liedes 2,3,89.0,3/4,3,4,New,750.0,8.43,Izīrē elegantu un plašu 3 istabu dzīvokli prestižajā projektā To
2026-09-05,ss.com,rent,57985534,https://www.ss.com/msg/en/real-estate/flats/riga/zolitude/bxnhj.html,Zolitude,Lejina 14,3,68.0,7/9,7,9,119-th,650.0,9.56,"Сдаётся уютная 3 комнатная квартира после ремонта. Светлая, прос"
2026-09-05,ss.com,rent,57948824,https://www.ss.com/msg/en/real-estate/flats/riga/zolitude/fccbj.html,Zolitude,Priedaines 13,3,90.0,2/4,2,4,New,1300.0,14.44,"Izīrē modernu un plašu 3 istabu dzīvokli lieliskā vietā. 

Dzī"
2026-09-05,ss.com,rent,57775910,https://www.ss.com/msg/en/real-estate/flats/riga/zolitude/clejg.html,Zolitude,Anninmuizhas 20,3,80.0,4/5,4,5,New,850.0,10.63,Dzīvoklis izdevīgā atrašanās vietā ar teicamu transporta nodroši
2026-09-05,ss.com,rent,57592884,https://www.ss.com/msg/en/real-estate/flats/riga/zolitude/bibmx.html,Zolitude,Anninmuizhas 5,3,76.0,5/9,5,9,119-th,520.0,6.84,"Сдаётся уютная, 3-х комнатная квартира со свежим косметическим р"
2026-09-05,ss.com,rent,57992888,https://www.ss.com/msg/en/real-estate/flats/riga/zolitude/dnecd.html,Zolitude,Augshzemes 5,2,57.0,3/4,3,4,New,575.0,10.09,Mēbelēts 2 istabu dzīvoklis Zolitūdē ar stāvvietu pazemes garāžā
2026-09-05,ss.com,rent,56821674,https://www.ss.com/msg/en/real-estate/flats/riga/zolitude/amllj.html,Zolitude,Anninmuizhas 13,4,183.0,11/12,11,12,New,1100.0,6.01,Ļoti ekonomisks uzturēšanai + autostāvvieta - skaists divstāvu d
2026-09-05,ss.com,rent,58012448,https://www.ss.com/msg/en/real-estate/flats/riga/imanta/benxx.html,Imanta,Anninmuizhas boule..,3,96.0,4/24,4,24,New,730.0,7.6,Īpašnieks izīrē mājīgu 3 istabu dzīvokli jaunā projektā Solaris
2026-09-05,ss.com,rent,58038323,https://www.ss.com/msg/en/real-estate/flats/riga/imanta/bcepx.html,Imanta,Dammes 1,3,63.0,3/9,3,9,602-th,650.0,10.32,Tiek izīrēts gaišs un kopts 63 m² 3 istabu dzīvoklis pēc remonta
2026-09-05,ss.com,rent,58036494,https://www.ss.com/msg/en/real-estate/flats/riga/imanta/cgojji.html,Imanta,Anninmuizhas boule..,3,71.0,11/12,11,12,Spec. pr.,490.0,6.9,"Plašs, silts un pilnībā mēbelēts 3 istabu dzīvoklis ar skaistu p"
2026-09-05,ss.com,rent,57956258,https://www.ss.com/msg/en/real-estate/flats/riga/imanta/ainlx.html,Imanta,Slokas 183,3,63.0,8/9,8,9,602-th,410.0,6.51,"Хорошее месторасположение, большая кухня, 2 санузла. По договору"
2026-09-05,ss.com,rent,58028168,https://www.ss.com/msg/en/real-estate/flats/riga/imanta/gjhnf.html,Imanta,Jurmalas g. 93,3,60.0,1/5,1,5,Lit pr.,500.0,8.33,Cдаётся в аренду 3-к квартира в Иманте. Все три комнаты (12м/15м
2026-09-05,ss.com,rent,58022709,https://www.ss.com/msg/en/real-estate/flats/riga/imanta/gnhil.html,Imanta,Slokas 191,3,53.0,5/5,5,5,Lit pr.,400.0,7.55,Īpašniece izīrē gaišu 3 istabu dzīvokli ar lodžiju Imantā ilgter
2026-09-05,ss.com,rent,57853798,https://www.ss.com/msg/en/real-estate/flats/riga/imanta/glnpl.html,Imanta,Imantas 1. l. 19,1,25.0,1/1,1,1,Priv.house,250.0,10.0,"Īpašnieks izīrē privātmājā dzīvokli, ar atsevišķu ieeju un ar vi"
2026-09-05,ss.com,rent,58028420,https://www.ss.com/msg/en/real-estate/flats/riga/imanta/cghkgo.html,Imanta,Zentenes 22,1,34.0,8/9,8,9,602-th,300.0,8.82,"Уютная 1-а комнатная квартира площадью 34кв. м. 
- Меблирована"
2026-09-05,ss.com,rent,58024002,https://www.ss.com/msg/en/real-estate/flats/riga/imanta/gdbmg.html,Imanta,Anninmuizhas boule..,1,45.0,2/12,2,12,Spec. pr.,380.0,8.44,"Izīrē plašu 1 istabas dzīvokli ilgtermiņā. 

Izīrē plašu, labā"
2026-09-05,ss.com,rent,58026375,https://www.ss.com/msg/en/real-estate/flats/riga/imanta/ejpkk.html,Imanta,Dammes 23,1,34.0,7/9,7,9,602-th,300.0,8.82,"Ilgtermiņā izīrē mājīgu 1-istabas dzīvokli Imantā, Dammes ielā 2"
2026-09-05,ss.com,rent,58020496,https://www.ss.com/msg/en/real-estate/flats/riga/imanta/eixhd.html,Imanta,Rigondas g. 7,1,33.0,9/12,9,12,Czech pr.,330.0,10.0,"Сдаю на длительный срок однокомнатную квартиру, лоджия застеклен"
2026-09-05,ss.com,rent,58017933,https://www.ss.com/msg/en/real-estate/flats/riga/imanta/bobpd.html,Imanta,Kurzemes pr. 164,1,35.0,2/9,2,9,602-th,300.0,8.57,"Liela virtuve un viena istaba ar sanmezgliem, ledusskapis, veļas"
2026-09-05,ss.com,rent,58040762,https://www.ss.com/msg/en/real-estate/flats/riga/imanta/cgoklb.html,Imanta,Anninmuizhas boule..,2,49.0,3/9,3,9,602-th,500.0,10.2,Īpašnieks izīrē dzīvokli ar eiroremontu. Komunālie maksājumi ir
2026-09-05,ss.com,rent,58033272,https://www.ss.com/msg/en/real-estate/flats/riga/imanta/eejfb.html,Imanta,Kurzemes pr. 86,2,50.0,6/9,6,9,602-th,350.0,7.0,Сдаётся 2 комнатная квартира. Две изолированные комнаты. Квартир
2026-09-05,ss.com,rent,58036571,https://www.ss.com/msg/en/real-estate/flats/riga/imanta/cgojjn.html,Imanta,Anninmuizhas boule..,2,49.0,9/9,9,9,602-th,400.0,8.16,Сдаю 2-комнатную квартиру в Иманте с панорамным видом на парк. С
2026-09-05,ss.com,rent,58029516,https://www.ss.com/msg/en/real-estate/flats/riga/imanta/dokep.html,Imanta,Slokas 130A,2,57.0,2/7,2,7,New,750.0,13.16,"Izīrē mūsdienīgu 2-istabu dzīvokli projektā ""Dammes Liepas"""
2026-09-05,ss.com,rent,58033393,https://www.ss.com/msg/en/real-estate/flats/riga/imanta/cgoipf.html,Imanta,Anninmuizhas boule..,2,49.0,5/5,5,5,Lit pr.,450.0,9.18,"No 1. oktobra ilgtermiņa īrei tiek piedāvāts mājīgs, pilnībā mēb"
2026-09-05,ss.com,rent,58024053,https://www.ss.com/msg/en/real-estate/flats/riga/imanta/cfnilf.html,Imanta,Slokas 138,2,38.0,2/5,2,5,Lit pr.,420.0,11.05,"Tiek izīrēts, gaišs, remontēts divistabu dzīvoklis. Pieejams uzr"
2026-09-05,ss.com,rent,58035514,https://www.ss.com/msg/en/real-estate/flats/riga/imanta/aebjk.html,Imanta,Dammes 25,2,48.0,6/9,6,9,602-th,250.0,5.21,Сдается на длительный срок семейным людям без домашних животных
2026-09-05,ss.com,rent,58034358,https://www.ss.com/msg/en/real-estate/flats/riga/imanta/cfnchg.html,Imanta,Akaciju 2d,2,45.0,4/9,4,9,New,620.0,13.78,"Izīrē gaišu un pilnībā aprīkotu dzīvokli Imantā, Akāciju ielā 2D"
2026-09-05,ss.com,rent,58032736,https://www.ss.com/msg/en/real-estate/flats/riga/imanta/ceompx.html,Imanta,Anninmuizhas boule..,2,42.0,2/24,2,24,New,600.0,14.29,No 15. septembra. Solaris projekts. Ilgtermiņa īrei. Pilnībā apr
2026-09-05,ss.com,rent,58028815,https://www.ss.com/msg/en/real-estate/flats/riga/imanta/cgjbef.html,Imanta,Kurzemes pr. 28,2,38.0,2/5,2,5,Lit pr.,400.0,10.53,Современный качественный ремонт был завершён в январе 2026года.
2026-09-05,ss.com,rent,57421547,https://www.ss.com/msg/en/real-estate/flats/riga/imanta/fxglo.html,Imanta,Kurzemes pr. 98,2,51.0,5/9,5,9,602-th,520.0,10.2,"Сдаётся на длительный срок просторная, уютная квартира, полность"
2026-09-05,ss.com,rent,57396804,https://www.ss.com/msg/en/real-estate/flats/riga/imanta/gibgc.html,Imanta,Kurzemes pr. 128,2,52.0,9/9,9,9,602-th,390.0,7.5,Saimnieks izīrē līdz maijam 2-istabu dzīvokli. Aprīkots ar visu
2026-09-05,ss.com,rent,57991183,https://www.ss.com/msg/en/real-estate/flats/riga/imanta/ceboe.html,Imanta,Kleistu 18,2,48.0,3/5,3,5,Lit pr.,400.0,8.33,"Divistabu dzīvoklis, pēc kapitālā remonta. Vēl nav neviens dzīvo"
2026-09-05,ss.com,rent,55880563,https://www.ss.com/msg/en/real-estate/flats/riga/imanta/cbomo.html,Imanta,Kurzemes pr. 76,2,49.0,2/5,2,5,Lit pr.,400.0,8.16,"Сдаю 2-комнатную квартиру, Только после косметического ремонта."
2026-09-05,ss.com,rent,58017742,https://www.ss.com/msg/en/real-estate/flats/riga/imanta/apgll.html,Imanta,Anninmuizhas boule..,2,51.0,14/24,14,24,New,590.0,11.57,Izīrē mājīgu un pilnībā mēbelētu 2 istabu dzīvokli projektā Sola
